id,案件名,発注機関,発注機関ドメイン,年度,種別,金額,出所,備考
kp01,令和7年度「東京手仕事」MAISON & OBJET PARIS 2025 出展及びポップアップストア運営,公益財団法人東京都中小企業振興公社,tokyo-kosha.or.jp,2025,委託,40986000,御社の受注実績（入札書 2025-03-18）,最重要。これを拾えないワークフローは失格
kp02,令和4~5年度「東京手仕事」ジャパンエキスポ・パビリオン WABI SABI 出展委託,公益財団法人東京都中小企業振興公社,tokyo-kosha.or.jp,2022,委託,,御社の受注実績,
kp03,令和4年度「東京手仕事」WORLD ART DUBAI 2023 JAPAN ZONE 出展委託,公益財団法人東京都中小企業振興公社,tokyo-kosha.or.jp,2022,委託,,御社の受注実績,
kp04,パリ JAPAN EXPO 出展／ステージ出演,熊本県庁,pref.kumamoto.jp,2016,委託,,御社の受注実績（2016-2024）,自治体本体。レジストリ未収載＝要追加
kp05,伝統工芸品の仏国でのテスト販売事業,岩手県庁,pref.iwate.jp,2019,委託,,御社の受注実績,自治体本体。レジストリ未収載＝要追加
kp06,東京2020 仏国プロモーション事業,東京都・JOC,metro.tokyo.lg.jp,2019,委託,,御社の受注実績,自治体本体。レジストリ未収載＝要追加
kp07,クールジャパンの芽事業 COOL JAPAN WORLD TRIAL アメリカ事業,経済産業省,meti.go.jp,2013,委託,,御社の受注実績,中央省庁。レジストリ未収載＝要追加
kp08,J-LOP事業 パリJAPAN EXPO コンテンツプロモーション,映像産業振興機構(VIPO),vipo.or.jp,2016,委託,,御社の受注実績（2016-2018）,国の外郭団体。レジストリ未収載＝要追加
kp09,ラグビーW杯 欧州プロモーション事業,九州経済連合会,kyukeiren.or.jp,2018,委託,,御社の受注実績,経済団体。レジストリ未収載＝要追加
kp10,海外における伝統的工芸品テストマーケティング業務,一般財団法人伝統的工芸品産業振興協会,kyokai.kougeihin.jp,2026,企画提案,,第1回巡回で発見,主戦場と最も一致
kp11,「2027年ベオグラード国際博覧会」日本館行催事業務,独立行政法人日本貿易振興機構,jetro.go.jp,2026,企画競争,327000000,第2回巡回で発見,
kp12,第70回東京都伝統工芸品展に係る運営管理業務の委託,公益財団法人東京都中小企業振興公社,tokyo-kosha.or.jp,2026,希望制指名競争入札,,第2回巡回で発見,
