チャネルID,名称,URL,発注主体の型,用途,紐づく制度ID,取得方法,巡回頻度_日,最終巡回日,最終取得件数,状態,なぜ必要か
chancenavi,ビジネスチャンス・ナビ2020,https://www.chancenavi.jp/bcn/,登録制ポータル,案件探索,,curl＋ログイン（bin/chancenavi.py）,1,2026-09-16,,未巡回,**登録必須を「見られない」と誤断定し、どのスクリプトも一度も叩いていなかった。トップページに案件が公開されている。2026-09-15 に TOKYO LIGHTS 等4件の未登録を検出**／**2026-09-16：トップの「入札・発注情報エリア」は回転表示であることが判明。**朝8時に見えたねんりんピック2件（PRブース出展・宿泊輸送）と東京iCDCフォーラムは、同日16時には消えていた。**1回の掃引では母集団の一部しか見えない。**だから観測を data/sweep_log.csv に毎回追記する。**詳細と締切はログイン後の「入札・発注案件を探す」でしか取れない。**／**2026-09-16：生島様より認証情報を頂き、ログインの機械化に成功した**（`bin/chancenavi.py`）。作法＝GET /bcnc/ → POST cab0101/validate に`X-Requested-With: XMLHttpRequest` → GET caa0101 で token → 以降は token 付き POST。**GET で画面IDを叩くとタイムアウトになる。1回でも想定外の遷移をするとセッションが即死する。****案件検索の画面IDは未解明**（タブ内のJSから開くため HTML に URL が出てこない）
tokyo-sangyo-rodo,東京都 産業労働局 観光部 公募・募集,https://www.sangyo-rodo.metro.tokyo.lg.jp/tourism/shisaku/,実行委員会・局直営,案件探索,,curl,3,,,未巡回,**TOKYO LIGHTS 2027（実行委員会）はここに出た。電子調達システムには載らない**
tokyo-startup,東京都 スタートアップ戦略推進本部 事業者募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/,局直営,案件探索,,curl,3,,,未巡回,**SusHi Tech Tokyo 2027 はここに出た。仕様説明会の参加申請が先行関門**
tokyo-procurement,東京都 電子調達システム（発注予定・入札経過）,https://www.e-procurement.metro.tokyo.lg.jp/,自治体本体,案件探索,,POST(CP932),7,,,巡回中,既存。**都本体の契約だけ。実行委員会・協議会の案件はここに載らない**／**2026-09-16：このシステムに「入札公告の一覧」は無い。**メニューは 東京都公報特定調達公告版／年間発注予定／発注予定／入札(見積)経過／入札結果一覧／有資格者名簿 のみ。**公告そのものは東京都公報（特定調達公告版・財務局発行）に出る**
expo2027,2027年国際園芸博覧会協会 契約情報,https://expo2027yokohama.or.jp/contract/,協会,案件探索,,curl,3,,,巡回中,既存。最重点
jgrants,jGrants 公開API（補助金の全国横断）,https://api.jgrants-portal.go.jp/exp/v1/public/subsidies,省庁・自治体,案件探索,,API,3,,,巡回中,既存。**補助金はここに集まる。ただし国の大型制度は自前サイトのみのことがある**
monodukuri,ものづくり補助金 総合サイト,https://portal.monodukuri-hojo.jp/,省庁（事務局）,制度更新,monodukuri-global,curl,7,,,未巡回,"**グローバル枠 上限3,000万円。台帳・巡回先に1件も無かった**"
jizokuka-ci,持続化補助金＜一般型・通常枠＞商工会議所地区,https://r6.jizokukahojokin.info/,省庁（事務局）,制度更新,jizokuka-ippan-20,curl,7,,,未巡回,**第20回。事業支援計画書(様式4)12/4 が実質の関門**
jizokuka-ca,持続化補助金＜一般型・通常枠＞商工会地区,https://official.jizokukanb.com/,省庁（事務局）,制度更新,jizokuka-ippan-20,curl,7,,,未巡回,同上（地区で事務局が分かれる）
jetro-proc,ジェトロ 調達・公募情報,https://www.jetro.go.jp/procurement/,独法,案件探索,,curl,3,,,巡回中,既存
smrj-proc,中小機構 調達・公募情報,https://www.smrj.go.jp/procurement/,独法,案件探索,,curl,7,,,未巡回,**旧 JAPANブランドの巡回先として名前だけあった。実際のURLは未確認だった**
chisou-mirai,内閣府 地域未来交付金,https://www.chisou.go.jp/sousei/about/chiikimiraikoufukin/index.html,省庁,制度更新,chiiki-mirai,curl,30,2026-09-15,3434,巡回中,2026-09-15 追加。案件の財源＝先行指標
kankocho,観光庁 公募情報,https://www.mlit.go.jp/kankocho/,国の機関,案件探索,,curl,1,,,現存,**2026-09-24 まで一度も巡回していなかった。**当社の本業である「出展事業」の公募が実際に出ている（日シンガポール外交関係樹立60周年イベント SJ60 共同出展地域の公募・2026-09-02 正午で終了）。加えてインバウンド関連の補助金は自治体・DMOが受け、その執行が当社の受託業務になる。**財源と発注の両方がここに出る**
bunkacho,文化庁 補助金・公募情報,https://www.bunka.go.jp/shinsei_boshu/kobo/index.html,国の機関,案件探索,,curl,1,,,現存,**案件台帳には文化庁の案件が既に3件あるのに（第42回国民文化祭 分野別フェスティバル・無形文化遺産保護条約に係る国際動向調査ほか）、巡回先の一覧に文化庁が無かった。**拾えていたのは他経路からの偶然である
tokyo-kosha-josei,東京都中小企業振興公社 助成金,https://www.tokyo-kosha.or.jp/support/josei/index.html,公社・外郭団体,案件探索,,curl,3,,,現存,公社の**委託**（東京手仕事・伝統工芸品展ほか）は台帳で監視しているが、**助成金の面は見ていなかった。**産地・事業者に使わせる原資であり、当社の提案の裏付けになる
vipo,VIPO（映像産業振興機構）補助金事業,https://vipo.or.jp/j-lod/,公益法人,制度更新,vipo-ip360,curl,7,,,現存,**J-LOD は「過去の補助金事業」へ移っており現行ではない。**後継の IP360 補助金ほかへ入れ替わっている。名称の入れ替わりを人が見るための定点
